Phrase,Sentiment
"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",0
"This quiet , introspective and entertaining independent is worth seeking .",1
"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",0
Aggressive self-glorification and a manipulative whitewash .,0
A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,1
"Narratively , Trouble Every Day is a plodding mess .",0
But it does n't leave you with much .,0
You could hate it for the same reason .,0
"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",0
"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",0
The performances are an absolute joy .,1
Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,0
As inept as big-screen remakes of The Avengers and The Wild Wild West .,0
It 's everything you 'd expect -- but nothing more .,0
"Best indie of the year , so far .",1
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,0
That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,0
The plot is romantic comedy boilerplate from start to finish .,0
"It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",0
A film that clearly means to preach exclusively to the converted .,0
"While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",0
The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,0
"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .",0
Nothing more than a run-of-the-mill action flick .,0
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",0
"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .",0
"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",0
"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",0
It almost feels as if the movie is more interested in entertaining itself than in amusing us .,0
"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",1
This 100-minute movie only has about 25 minutes of decent material .,0
"Fortunately , you still have that option .",0
"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",0
Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,1
"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",1
"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker .",0
"Finally coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",0
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",1
Both lead performances are Oscar-size .,1
"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",0
Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered .,0
"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",1
It 's like a drive-by .,0
"But it has an ambition to say something about its subjects , but not a willingness .",0
Reeks of rot and hack work from start to finish .,0
Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .,0
Contrived pastiche of caper,0
The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,0
"Swimfan , like Fatal Attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .",0
This is a heartfelt story ... it just is n't a very involving one .,0
"An unsettling , memorable cinematic experience that does its predecessors proud .",1
